family,gamma_scenario,gamma,seed,energy_kwh,carbon_kg,carbon_per_block_kg,carbon_per_tx_g
PoW_BTC,low,0.05,20260124,467774059.2496601,23388702.962483004,170720.45958016792,85360.22979008395
PoW_BTC,low,0.05,20260125,489757304.6412692,24487865.23206346,154011.73101926706,77005.86550963353
PoW_BTC,low,0.05,20260126,552055622.7773468,27602781.138867345,176940.90473632913,88470.45236816457
PoW_BTC,low,0.05,20260127,446496708.98751503,22324835.449375752,151869.62890731805,75934.81445365901
PoW_BTC,low,0.05,20260128,414605142.3820009,20730257.11910005,143960.11888263922,71980.05944131961
PoW_BTC,low,0.05,20260129,450412343.31034666,22520617.165517334,168064.30720535325,84032.15360267661
PoW_BTC,low,0.05,20260130,447144774.754443,22357238.73772215,164391.46130678052,82195.73065339026
PoW_BTC,average,0.475,20260101,549367770.9649522,260949691.2083523,1694478.51433995,847239.257169975
PoW_BTC,average,0.475,20260102,507498895.64628017,241061975.43198308,1535426.5951081724,767713.2975540862
PoW_BTC,average,0.475,20260103,449671040.4439793,213593744.21089017,1593983.1657529117,796991.5828764559
PoW_BTC,average,0.475,20260104,437064908.2848787,207605831.43531737,1537820.9735949435,768910.4867974718
PoW_BTC,average,0.475,20260105,482242044.3484006,229064971.06549028,1449778.2978828498,724889.1489414249
PoW_BTC,average,0.475,20260106,387241845.9226178,183939876.81324345,1572135.699258491,786067.8496292456
PoW_BTC,average,0.475,20260107,464685894.96426266,220725800.10802475,1554407.0430142588,777203.5215071294
PoW_BTC,average,0.475,20260108,457942651.8881643,217522759.64687803,1421717.3833129283,710858.6916564642
PoW_BTC,average,0.475,20260109,494488353.8848481,234881968.09530285,1545276.1058901504,772638.0529450752
PoW_BTC,average,0.475,20260110,494926902.2306805,235090278.55957323,1526560.2503868393,763280.1251934196
PoW_BTC,average,0.475,20260111,386414687.8667808,183546976.7367209,1596060.667275834,798030.333637917
PoW_BTC,average,0.475,20260112,435116558.00712657,206680365.0533851,1577712.710331184,788856.355165592
